Date time,Amount
2019-Nov-17,0
2019-Nov-18,0
2019-Nov-19,0
2019-Nov-20,0
2019-Nov-21,0
2019-Nov-22,0
2019-Nov-23,1
2019-Nov-24,0
2019-Nov-25,0.2
2019-Nov-26,0.2
2019-Nov-27,0
2019-Nov-28,0
2019-Nov-29,0
2019-Nov-30,0.2
2019-Dec-1,0
2019-Dec-2,0
2019-Dec-3,0
2019-Dec-4,0
2019-Dec-5,0
2019-Dec-6,0
2019-Dec-7,1
2019-Dec-8,0
2019-Dec-9,0
2019-Dec-10,28
2019-Dec-11,3
2019-Dec-12,6
2019-Dec-13,2
2019-Dec-14,0
2019-Dec-15,0
2019-Dec-16,0
2019-Dec-17,0
2019-Dec-18,0
2019-Dec-19,6
2019-Dec-20,13
2019-Dec-21,6
2019-Dec-22,3
2019-Dec-23,0.6
2019-Dec-24,0
2019-Dec-25,0
2019-Dec-26,4
2019-Dec-27,11
2019-Dec-28,17
2019-Dec-29,20
2019-Dec-30,52
2019-Dec-31,1
